link,upload,duration,views,likes,comments,resend,saves,description
https://www.tiktok.com/@ness_opo/video/7280723915624779013,2023-09-20 05:07:20,95,5292,232,0,0,27,😈😈🔥🔥#🎧 #NesS🎧🎵 #phonk #viral #brazil #ness_opo #TikTok #aveeplayer #bassboosong #headphones #foryou #funk #sdx_bass #musica #top #typ #tending #อย่าปิดการมองเห็น #brazilian #slowed 
https://www.tiktok.com/@ness_opo/video/7279957066402368773,2023-09-18 03:31:34,60,7499,408,1,2,75,👿👿💀💀#slowed #brazilian #อย่าปิดการมองเห็น #tending #typ #top #musica #sdx_bass #funk #foryou #headphones #bassboosong #aveeplayer #TikTok #ness_opo #brazil #viral #phonk #NesS🎧🎵 #🎧 
https://www.tiktok.com/@ness_opo/video/7279665228189535494,2023-09-17 08:39:04,78,36500,3394,29,20,561,💀💀💀#🎧 #NesS🎧🎵 #อย่าปิดการมองเห็น #ness_opo #phonk #viral #brazil #ness_opo #TikTok #aveeplayer #bassboosong #headphones #foryou #funk #sdx_bass #musica #top #typ #tending #อย่าปิดการมองเห็น #brazilian #slowed 
https://www.tiktok.com/@ness_opo/video/7279043028684262662,2023-09-15 16:24:37,62,2990,148,3,0,22,#🎧 
https://www.tiktok.com/@ness_opo/video/7278831702527544582,2023-09-15 02:44:35,25,2131,127,1,3,19,💀💀💀🔥🔥🔥🎧🎵#typ #slowed #brazilian #อย่าปิดการมองเห็น #tending ##typ #top #musica #sdx_bass #funk #foryou #headphones #bassboosong #bassboosong #aveeplayer #TikTok #NesS🎧🎵 #🎧 #ness_opo #brazil #phonk #viral 
https://www.tiktok.com/@ness_opo/video/7278514215114231045,2023-09-14 06:12:33,17,2329,157,2,4,25,💀💀💀🔥🔥🔥#viral #phonk #brazil #ness_opo #🎧 #NesS🎧🎵 #TikTok #aveeplayer #bassboosong #headphones #foryou #funk #sdx_bass #musica #top #tending #อย่าปิดการมองเห็น #brazilian #slowed #typ 
https://www.tiktok.com/@ness_opo/video/7278461223434276101,2023-09-14 02:46:55,60,9056,565,3,3,86,🔥🔥🔥#typ #slowed #brazilian #อย่าปิดการมองเห็น #tending #top #musica #sdx_bass #funk #foryou ##headphones #bassboosong #aveeplayer #TikTok #NesS🎧🎵 #🎧 #ness_opo #brazil #phonk #viral 
https://www.tiktok.com/@ness_opo/video/7278203229194767621,2023-09-13 10:05:48,27,2691,245,3,1,24,#viral #phonk #brazil #ness_opo #🎧 #NesS🎧🎵 #TikTok #aveeplayer #bassboosong #headphones #foryou #funk #sdx_bass #top #musica #tending #อย่าปิดการมองเห็น #brazilian #slowed #typ 
https://www.tiktok.com/@ness_opo/video/7277934961607363846,2023-09-12 16:44:44,27,2401,153,0,6,30,🔥🔥🔥🔥🔥##typ #slowed #brazilian #อย่าปิดการมองเห็น #tending #musica #top #sdx_bass #funk #funk #viral #phonk #brazil #ness_opo #🎧 #NesS🎧🎵 #TikTok #aveeplayer #bassboosong #headphones #foryou 
https://www.tiktok.com/@ness_opo/video/7277548334615661830,2023-09-11 15:44:25,62,11000,672,3,2,97,#foryou #headphones #bassboosong #aveeplayer #TikTok #NesS🎧🎵 #🎧 #ness_opo #brazil #phonk #viral #funk #sdx_bass #musica #top #tending #อย่าปิดการมองเห็น #brazilian #slowed #typ 
https://www.tiktok.com/@ness_opo/video/7277317545458371845,2023-09-11 00:48:53,60,4601,152,6,4,10,🔥🔥🔥🔥🔥#typ #slowed #brazilian #อย่าปิดการมองเห็น #tending #top #musica #sdx_bass #viral #funk #phonk #brazil #ness_opo #🎧 #NesS🎧🎵 #TikTok #aveeplayer #bassboosong #headphones #foryou @NUEKI @TikTok @P. 
https://www.tiktok.com/@ness_opo/video/7277313147352911109,2023-09-11 00:31:49,106,6006,144,3,1,23,
https://www.tiktok.com/@ness_opo/video/7277197038637337861,2023-09-10 17:01:13,60,4578,195,4,1,21,
https://www.tiktok.com/@ness_opo/video/7276970759262686470,2023-09-10 02:23:10,65,5504,196,4,6,26,
https://www.tiktok.com/@ness_opo/video/7276627630269500677,2023-09-09 04:11:40,106,35200,2170,7,11,291,🔥🔥🔥🔥#foryou #headphones #bassboosong #aveeplayer #TikTok #NesS🎧🎵 #🎧 #ness_opo #brazil #phonk #funk #viral #sdx_bass #musica #top #tending #อย่าปิดการมองเห็น #brazilian #slowed #typ 
https://www.tiktok.com/@ness_opo/video/7276304330058124550,2023-09-08 07:17:04,60,5406,254,2,2,19,🔥🔥🔥🔥#typ #slowed #brazilian #อย่าปิดการมองเห็น #tending #top #musica #sdx_bass #viral #funk #phonk #ness_opo #brazil #NesS🎧🎵 #🎧 #TikTok #aveeplayer #bassboosong #bassboosong #headphones #foryou 
